# Simulation 7 (Up to date),,,,,,,,
# 648 data points written for 9 variables.,,,,,,,,
#,,,,,,,,
# Tiempo (s),Altitud (m),Altitude above sea level (m),Velocidad vertical (m/s),Velocidad total (m/s),AceleraciÃ³n vertical (m/sÂ²),AceleraciÃ³n total (m/sÂ²),Velocidad horizontal (m/s),AceleraciÃ³n horizontal (m/sÂ²)
# Event IGNITION occurred at t=0 seconds,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,
"2,555","203,316","203,316","79,621","79,695","-13,076","13,077","3,446","0,03"
"2,605","207,281","207,281","78,968","79,044","-13,035","13,036","3,452","0,212"
"2,655","211,213","211,213","78,318","78,394","-12,973","12,974","3,462","0,125"
"2,705","215,113","215,113","77,671","77,748","-12,905","12,905","3,464","0,047"
"2,755","218,98","218,98","77,027","77,105","-12,84","12,842","3,458","0,197"
"2,805","222,816","222,816","76,387","76,464","-12,773","12,78","3,443","0,411"
"2,855","226,619","226,619","75,75","75,827","-12,709","12,724","3,416","0,629"
"2,905","230,391","230,391","75,116","75,192","-12,656","12,673","3,383","0,648"
"2,955","234,131","234,131","74,484","74,56","-12,618","12,625","3,356","0,422"
"3,005","237,839","237,839","73,854","73,929","-12,579","12,582","3,339","0,258"
"3,055","241,516","241,516","73,226","73,302","-12,538","12,539","3,329","0,156"
"3,105","245,162","245,162","72,6","72,676","-12,512","12,512","3,328","0,118"
"3,155","248,776","248,776","71,975","72,053","-12,473","12,475","3,337","0,217"
"3,205","252,359","252,359","71,353","71,431","-12,422","12,423","3,347","0,182"
"3,255","255,911","255,911","70,733","70,813","-12,366","12,367","3,355","0,095"
"3,305","259,433","259,433","70,117","70,197","-12,289","12,293","3,35","0,308"
"3,355","262,923","262,923","69,504","69,583","-12,23","12,241","3,329","0,518"
"3,405","266,383","266,383","68,894","68,973","-12,176","12,194","3,299","0,663"
"3,455","269,812","269,812","68,286","68,364","-12,133","12,15","3,265","0,648"
"3,505","273,212","273,212","67,68","67,758","-12,099","12,109","3,236","0,486"
"3,555","276,581","276,581","67,076","67,153","-12,072","12,075","3,218","0,258"
"3,605","279,919","279,919","66,473","66,55","-12,055","12,055","3,212","0,036"
"3,655","283,228","283,228","65,87","65,949","-12,041","12,046","3,222","0,335"
"3,705","286,506","286,506","65,269","65,35","-12,005","12,011","3,24","0,377"
"3,755","289,755","289,755","64,67","64,752","-11,954","11,957","3,258","0,289"
"3,805","292,973","292,973","64,074","64,157","-11,886","11,886","3,265","0,003"
"3,855","296,162","296,162","63,482","63,565","-11,816","11,822","3,256","0,376"
"3,905","299,322","299,322","62,892","62,975","-11,764","11,778","3,232","0,56"
"3,955","302,451","302,451","62,305","62,387","-11,716","11,738","3,199","0,719"
"4,005","305,552","305,552","61,72","61,801","-11,682","11,7","3,164","0,657"
"4,055","308,624","308,624","61,137","61,217","-11,662","11,668","3,138","0,377"
"4,105","311,666","311,666","60,554","60,635","-11,641","11,642","3,124","0,169"
"4,155","314,679","314,679","59,972","60,054","-11,627","11,627","3,123","0,086"
"4,205","317,663","317,663","59,392","59,474","-11,602","11,604","3,13","0,192"
"4,255","320,618","320,618","58,813","58,896","-11,558","11,558","3,137","0,086"
"4,305","323,544","323,544","58,235","58,32","-11,528","11,529","3,143","0,145"
"4,355","326,442","326,442","57,66","57,746","-11,48","11,48","3,147","0,013"
"4,405","329,31","329,31","57,087","57,174","-11,43","11,431","3,144","0,166"
"4,455","332,15","332,15","56,517","56,604","-11,389","11,392","3,133","0,247"
"4,505","334,962","334,962","55,948","56,035","-11,35","11,355","3,119","0,321"
"4,555","337,745","337,745","55,382","55,469","-11,314","11,32","3,101","0,363"
"4,605","340,5","340,5","54,817","54,904","-11,286","11,29","3,085","0,309"
"4,655","343,227","343,227","54,253","54,34","-11,255","11,259","3,069","0,301"
"4,705","345,926","345,926","53,691","53,778","-11,229","11,231","3,056","0,238"
"4,755","348,596","348,596","53,13","53,218","-11,205","11,206","3,046","0,149"
"4,805","351,239","351,239","52,571","52,659","-11,18","11,181","3,04","0,092"
"4,855","353,853","353,853","52,012","52,101","-11,154","11,154","3,036","0,062"
"4,905","356,44","356,44","51,455","51,545","-11,128","11,128","3,034","0,023"
"4,955","358,999","358,999","50,9","50,99","-11,1","11,1","3,033","0,015"
"5,005","361,53","361,53","50,346","50,437","-11,064","11,065","3,031","0,089"
"5,055","364,033","364,033","49,793","49,885","-11,04","11,041","3,027","0,043"
"5,105","366,509","366,509","49,242","49,334","-11,014","11,014","3,026","0,027"
"5,155","368,958","368,958","48,692","48,785","-10,983","10,983","3,024","0,054"
"5,205","371,379","371,379","48,143","48,238","-10,946","10,947","3,019","0,155"
"5,255","373,772","373,772","47,597","47,692","-10,917","10,919","3,01","0,177"
"5,305","376,138","376,138","47,052","47,147","-10,883","10,886","2,999","0,258"
"5,355","378,477","378,477","46,508","46,604","-10,857","10,86","2,986","0,264"
"5,405","380,789","380,789","45,966","46,062","-10,832","10,835","2,973","0,249"
"5,455","383,074","383,074","45,425","45,522","-10,809","10,812","2,961","0,226"
"5,505","385,332","385,332","44,885","44,982","-10,788","10,789","2,951","0,195"
"5,555","387,562","387,562","44,346","44,444","-10,77","10,771","2,943","0,132"
"5,605","389,766","389,766","43,808","43,907","-10,751","10,751","2,937","0,085"
"5,655","391,943","391,943","43,271","43,371","-10,733","10,733","2,934","0,038"
"5,705","394,093","394,093","42,735","42,835","-10,718","10,718","2,934","0,035"
"5,755","396,217","396,217","42,2","42,302","-10,693","10,693","2,935","0,017"
"5,805","398,313","398,313","41,665","41,769","-10,674","10,674","2,937","0,046"
"5,855","400,383","400,383","41,132","41,237","-10,641","10,642","2,937","0,039"
"5,905","402,427","402,427","40,601","40,707","-10,61","10,611","2,933","0,119"
"5,955","404,443","404,443","40,071","40,178","-10,585","10,586","2,926","0,152"
"6,005","406,434","406,434","39,543","39,65","-10,565","10,566","2,919","0,137"
"6,055","408,398","408,398","39,015","39,123","-10,545","10,546","2,913","0,122"
"6,105","410,335","410,335","38,488","38,598","-10,519","10,52","2,905","0,173"
"6,155","412,247","412,247","37,963","38,073","-10,502","10,503","2,898","0,137"
"6,205","414,132","414,132","37,438","37,55","-10,475","10,477","2,889","0,2"
"6,255","415,99","415,99","36,915","37,027","-10,453","10,455","2,878","0,225"
"6,305","417,823","417,823","36,393","36,506","-10,439","10,441","2,868","0,175"
"6,355","419,63","419,63","35,871","35,985","-10,43","10,431","2,862","0,092"
"6,405","421,41","421,41","35,35","35,465","-10,417","10,417","2,858","0,047"
"6,455","423,165","423,165","34,83","34,946","-10,399","10,399","2,856","0,051"
"6,505","424,893","424,893","34,31","34,428","-10,381","10,381","2,854","0,046"
"6,555","426,596","426,596","33,792","33,912","-10,356","10,357","2,85","0,102"
"6,605","428,272","428,272","33,274","33,395","-10,346","10,346","2,846","0,051"
"6,655","429,923","429,923","32,757","32,88","-10,323","10,324","2,843","0,089"
"6,705","431,548","431,548","32,242","32,366","-10,305","10,305","2,838","0,104"
"6,755","433,147","433,147","31,727","31,853","-10,286","10,286","2,832","0,12"
"6,805","434,721","434,721","31,213","31,341","-10,27","10,271","2,826","0,117"
"6,855","436,269","436,269","30,7","30,829","-10,252","10,253","2,82","0,13"
"6,905","437,791","437,791","30,188","30,319","-10,235","10,236","2,813","0,14"
"6,955","439,287","439,287","29,676","29,809","-10,227","10,227","2,807","0,092"
"7,005","440,758","440,758","29,165","29,299","-10,22","10,22","2,804","0,037"
"7,055","442,204","442,204","28,654","28,791","-10,208","10,208","2,803","0,02"
"7,105","443,624","443,624","28,144","28,283","-10,197","10,197","2,802","0,003"
"7,155","445,018","445,018","27,635","27,776","-10,181","10,181","2,802","0,013"
"7,205","446,387","446,387","27,126","27,27","-10,159","10,159","2,8","0,06"
"7,255","447,731","447,731","26,619","26,765","-10,142","10,142","2,796","0,081"
